ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
2769,20160413,Wed 4/13,MIA,98-88,W,3,3,1.0,0,0,0.0,0,0,0.0,6,7,3,0,0,4,0,22
2769,20160411,Mon 4/11,CHA,100-114,L,5,1,0.2,1,0,0.0,4,3,0.75,5,6,2,0,3,0,0,22
2769,20160409,Sat 4/9,ATL,107-118,L,8,6,0.75,0,0,0.0,2,2,1.0,14,8,2,4,1,5,0,26
2769,20160408,Fri 4/8,MIL,124-109,W,3,2,0.667,0,0,0.0,0,0,0.0,4,1,3,0,0,4,1,15
2769,20160406,Wed 4/6,NO,104-97,W,4,2,0.5,0,0,0.0,2,2,1.0,6,7,2,2,0,4,3,25
2769,20160403,Sun 4/3,LAL,107-100,W,8,4,0.5,2,0,0.0,2,2,1.0,10,13,4,0,0,4,2,26
2769,20160401,Fri 4/1,GS,109-106,W,5,3,0.6,1,0,0.0,5,1,0.2,7,9,2,0,1,1,2,26
2769,20160331,Thu 3/31,POR,109-116,L,6,4,0.667,1,1,1.0,4,3,0.75,12,9,1,2,1,4,3,28
2769,20160328,Mon 3/28,LAC,90-114,L,2,1,0.5,0,0,0.0,2,1,0.5,3,5,1,1,1,3,2,19
2769,20160326,Sat 3/26,PHX,102-99,W,1,1,1.0,0,0,0.0,0,0,0.0,2,6,1,1,1,4,2,25
2769,20160323,Wed 3/23,TOR,91-79,W,6,5,0.833,0,0,0.0,4,1,0.25,11,14,5,2,1,4,2,34
2769,20160321,Mon 3/21,ORL,107-96,W,6,5,0.833,0,0,0.0,1,1,1.0,11,11,2,3,0,2,2,34
2769,20160320,Sun 3/20,PHI,120-105,W,10,9,0.9,0,0,0.0,0,0,0.0,18,8,0,2,0,5,1,24
2769,20160318,Fri 3/18,TOR,91-105,L,5,3,0.6,0,0,0.0,0,0,0.0,6,6,0,1,2,1,2,26
2769,20160316,Wed 3/16,OKC,109-130,L,7,5,0.714,0,0,0.0,1,1,1.0,11,12,5,1,0,2,1,25
2769,20160315,Tue 3/15,IND,98-103,L,6,4,0.667,0,0,0.0,0,0,0.0,8,9,0,0,0,2,1,23
2769,20160311,Fri 3/11,HOU,98-102,L,2,0,0.0,0,0,0.0,0,0,0.0,0,2,1,0,0,0,0,14
2769,20160309,Wed 3/9,MEM,116-96,W,3,1,0.333,0,0,0.0,2,1,0.5,3,2,2,1,0,2,2,18
2769,20160305,Sat 3/5,CLE,103-120,L,4,3,0.75,0,0,0.0,5,2,0.4,8,1,1,0,0,3,1,17
2769,20160304,Fri 3/4,NY,105-104,W,2,0,0.0,1,0,0.0,0,0,0.0,0,2,1,0,0,1,0,13
2769,20160302,Wed 3/2,POR,116-93,W,7,3,0.429,0,0,0.0,0,0,0.0,6,6,1,2,0,1,0,14
2769,20160229,Mon 2/29,UTAH,100-95,W,5,1,0.2,1,0,0.0,4,3,0.75,5,9,3,2,1,4,1,21
2769,20160227,Sat 2/27,MIA,101-89,W,5,2,0.4,0,0,0.0,1,1,1.0,5,9,0,2,1,1,2,19
2769,20160225,Thu 2/25,MIL,112-107,W,9,7,0.778,0,0,0.0,4,1,0.25,15,8,2,1,1,4,0,25
2769,20160222,Mon 2/22,MIN,122-124,L,3,1,0.333,0,0,0.0,0,0,0.0,2,1,1,1,0,2,0,15
2769,20160221,Sun 2/21,DEN,121-101,W,5,3,0.6,1,0,0.0,0,0,0.0,6,5,1,0,0,1,1,18
2769,20160219,Fri 2/19,UTAH,93-111,L,4,1,0.25,1,0,0.0,0,0,0.0,2,1,0,0,2,3,1,17
2769,20160210,Wed 2/10,LAC,139-134,W,2,0,0.0,0,0,0.0,0,0,0.0,0,0,1,0,0,0,2,13
